AtcoCode,NaptanCode,CommonName,StopType,Easting,Northing,LocalityCode,Longitude,Latitude,Indicator,Town,Street,Status,LocalityName
700000014975,,Knockamell Park,BusCoachTramOnStreetPoint,287696,346005,N0000003,-6.6519624,54.3551875,,,,active,Armagh
700000014976,,Railway Street,BusCoachTramOnStreetPoint,287477,345701,N0000003,-6.6553817,54.3525003,,,,active,Armagh
700000014977,,Callan Bridge Road,BusCoachTramOnStreetPoint,286383,345619,N0000003,-6.6722227,54.351946,,,,active,Armagh
700000014978,,St Malachy's Church,BusCoachTramOnStreetPoint,287344,344791,N0000003,-6.65769,54.3443462,,,,active,Armagh
700000014980,,Tower Hill,BusCoachTramOnStreetPoint,288189,345692,N0000003,-6.6444342,54.3522928,,,,active,Armagh
700000014981,,Main Street,BusCoachTramOnStreetPoint,279477,344947,N0000003,-6.7785831,54.3470331,,,,active,Armagh
700000014983,,Railway Crescent,BusCoachTramOnStreetPoint,284792,334575,N0000003,-6.6998172,54.2530303,,,,active,Armagh
700000014984,,Mall West,BusCoachTramOnStreetPoint,287858,345152,N0000003,-6.6496824,54.3475002,,,,active,Armagh
700000014985,,Donegall Park Avenue,BusCoachTramOnStreetPoint,333573,378655,N0000009,-5.9319665,54.6383628,,,,active,Belfast Metro Ops
700000014986,,Donegall Park Avenue,BusCoachTramOnStreetPoint,333563,378642,N0000009,-5.9321272,54.6382488,,,,active,Belfast Metro Ops
700000014987,,Coolmoyne Park,BusCoachTramOnStreetPoint,333171,378201,N0000009,-5.9383944,54.6343932,,,,active,Belfast Metro Ops
700000014988,,Cavehill Bowling Green,BusCoachTramOnStreetPoint,333068,378188,N0000009,-5.9399943,54.6343037,,,,active,Belfast Metro Ops
700000014989,,Castle Park,BusCoachTramOnStreetPoint,332641,378105,N0000009,-5.9466399,54.6336708,,,,active,Belfast Metro Ops
700000014990,,Castle Park,BusCoachTramOnStreetPoint,332663,378096,N0000009,-5.9463035,54.6335842,,,,active,Belfast Metro Ops
700000014991,,Westland Fire Station,BusCoachTramOnStreetPoint,332731,377249,N0000009,-5.9456331,54.6259666,,,,active,Belfast Metro Ops
700000014992,,Westland Fire Station,BusCoachTramOnStreetPoint,332733,377237,N0000009,-5.9456091,54.6258544,,,,active,Belfast Metro Ops
700000014993,,Westland Way,BusCoachTramOnStreetPoint,332607,377157,N0000009,-5.9475947,54.6251692,,,,active,Belfast Metro Ops
700000014994,,Berkley Court,BusCoachTramOnStreetPoint,334748,369160,N0000009,-5.9181368,54.5528163,,,,active,Belfast Metro Ops
700000014995,,Cedarhurst Road,BusCoachTramOnStreetPoint,335007,368959,N0000009,-5.9142309,54.5509381,,,,active,Belfast Metro Ops
700000014996,,Beechill Park Avenue,BusCoachTramOnStreetPoint,335330,368653,N0000009,-5.9093884,54.5481043,,,,active,Belfast Metro Ops
700000014997,,Tesco Newtownbreda,BusCoachTramOnStreetPoint,334556,368934,N0000009,-5.9212009,54.5508322,,,,active,Belfast Metro Ops
700000014998,,Breda Gardens,BusCoachTramOnStreetPoint,335254,369740,N0000009,-5.9100612,54.5578866,,,,active,Belfast Metro Ops
700000014999,,Breda Road,BusCoachTramOnStreetPoint,335249,369733,N0000009,-5.9101326,54.5578208,,,,active,Belfast Metro Ops
700000015000,,Mount Eagles Crescent,BusCoachTramOnStreetPoint,326134,369209,N0000009,-6.0511609,54.5554692,,,,active,Belfast Metro Ops
700000015001,,Mount Eagles Avenue,BusCoachTramOnStreetPoint,326140,369337,N0000009,-6.0510134,54.5566169,,,,active,Belfast Metro Ops
700000015002,,Lagmore,BusCoachTramOnStreetPoint,326242,369546,N0000009,-6.0493482,54.5584679,,,,active,Belfast Metro Ops
700000015003,,Westland Way,BusCoachTramOnStreetPoint,332596,377168,N0000009,-5.9477599,54.6252709,,,,active,Belfast Metro Ops
700000015004,,Mount Eagles Avenue,BusCoachTramOnStreetPoint,326148,369334,N0000009,-6.0508911,54.556588,,,,active,Belfast Metro Ops
700000015005,,Mount Eagles Park,BusCoachTramOnStreetPoint,326139,369237,N0000009,-6.0510717,54.5557194,,,,active,Belfast Metro Ops
700000015006,,Howard Street,BusCoachTramOnStreetPoint,333709,373924,N0000009,-5.9320143,54.5958569,,,,active,Belfast Metro Ops
700000015008,,Donegall Square North,BusCoachTramOnStreetPoint,333799,374089,N0000009,-5.9305573,54.5973153,,,,active,Belfast Metro Ops
700000015009,,9-11 Airport Road West,BusCoachTramOnStreetPoint,336697,376832,N0000009,-5.8844669,54.6211617,,,,active,Belfast Metro Ops
700000015010,,9-11 Airport Road West,BusCoachTramOnStreetPoint,336725,376863,N0000009,-5.8840147,54.6214377,,,,active,Belfast Metro Ops
700000015011,,The Pub,BusCoachTramOnStreetPoint,349539,373958,N0000028,-5.6873427,54.5917287,,,,active,Newtownards
700000015012,,Mandeville Manor,BusCoachTramOnStreetPoint,303957,355991,N0000013,-6.3984194,54.4418113,,,,active,Craigavon
700000015013,,Mandeville Manor,BusCoachTramOnStreetPoint,303864,355976,N0000013,-6.3998613,54.4417009,,,,active,Craigavon
700000015014,,Kernan Stores,BusCoachTramOnStreetPoint,303115,355480,N0000013,-6.4115763,54.4373951,,,,active,Craigavon
700000015015,,Kernan Stores,BusCoachTramOnStreetPoint,303104,355482,N0000013,-6.4117403,54.4374197,,,,active,Craigavon
700000015016,,Balteagh Road,BusCoachTramOnStreetPoint,304313,357250,N0000013,-6.3924938,54.4530497,,,Craigavon,active,Craigavon
700000015017,,Balteagh Road,BusCoachTramOnStreetPoint,304269,357233,N0000013,-6.3931827,54.4529003,,,,active,Craigavon
700000015018,,Craigavon Bus Station,BusCoachTramOnStreetPoint,303981,356956,N0000013,-6.397719,54.4504771,,,,active,Craigavon
700000015019,,Highfield Road,BusCoachTramOnStreetPoint,303983,356914,N0000013,-6.3976992,54.4500948,,,,active,Craigavon
700000015020,,Tesco Lay-By Highfield Road,BusCoachTramOnStreetPoint,304176,356389,N0000013,-6.3949177,54.4453399,,,,active,Craigavon
700000015021,,Tesco Lay-By Highfield Road,BusCoachTramOnStreetPoint,304152,356484,N0000013,-6.3952459,54.446203,,,,active,Craigavon
700000015022,,Toberhewny Lane Upper,BusCoachTramOnStreetPoint,308688,357126,N0000013,-6.3251191,54.4510178,,,,active,Craigavon
700000015023,,Kitchen Hill,BusCoachTramOnStreetPoint,308038,358213,N0000013,-6.3347482,54.4609162,,,,active,Craigavon
700000015024,,Beech Park,BusCoachTramOnStreetPoint,302723,353698,N0000013,-6.418237,54.4214753,,,,active,Craigavon
700000015025,,Rowan Manor,BusCoachTramOnStreetPoint,305749,357282,N0000013,-6.3703513,54.4530384,,,,active,Craigavon
700000015026,,Rowan Manor,BusCoachTramOnStreetPoint,305808,357238,N0000013,-6.3694675,54.4526282,,,,active,Craigavon
700000015027,,Brownlow College,BusCoachTramOnStreetPoint,306345,356722,N0000013,-6.3613685,54.4478852,,,,active,Craigavon
700000015028,,Brownlow College,BusCoachTramOnStreetPoint,306318,356744,N0000013,-6.3617771,54.4480893,,,,active,Craigavon
700000015029,,Carn Drive,BusCoachTramOnStreetPoint,302649,356639,N0000013,-6.4183594,54.4478953,,,,active,Craigavon
700000015030,,Diviny Drive,BusCoachTramOnStreetPoint,302972,356679,N0000013,-6.4133644,54.4481875,,,,active,Craigavon
700000015031,,Carn Road,BusCoachTramOnStreetPoint,303153,357308,N0000013,-6.4103553,54.4538051,,,,active,Craigavon
700000015032,,Craigavon Senior High School,BusCoachTramOnStreetPoint,302323,354782,N0000013,-6.4240161,54.4312843,,,Craigavon,active,Craigavon
700000015033,,Ardress Cottages,BusCoachTramOnStreetPoint,290821,356075,N0000013,-6.6007996,54.4450809,,,Craigavon,active,Craigavon
700000015034,,Moody Park,BusCoachTramOnStreetPoint,306561,343480,N0000013,-6.3627861,54.3289255,,,Craigavon,active,Craigavon
