stop_id,stop_name,stop_lat,stop_lon
700000003807,Avonlea Gardens,0,0
700000003808,Armoy Gardens,0,0
700000003809,Rathcoole Drive,0,0
700000001595,Merville Mews,0,0
700000001596,Merville Garden Village,0,0
700000000580,Whitehouse,0,0
700000000582,Bawnmore,0,0
700000001387,Waverley Gardens,0,0
700000000776,McIlroy Court,0,0
700000000778,Longlands Road,0,0
700000000780,Abbeycentre,0,0
700000000782,Abbeycentre,0,0
700000001454,Rush Park,0,0
700000001455,Abbey Park,0,0
700000015240,Mount Pleasant,0,0
700000015241,Jordanstown Train Station [bus stop],0,0
700000015242,Coolemoyne Park,0,0
700000015243,Wood Green,0,0
700000003610,Circular Road,0,0
700000015195,Whiteabbey Presbyterian Church,0,0
700000003611,Dillons  Avenue,0,0
700000003612,Station Road,0,0
700000001401,Northern Regional College,0,0
700000001402,Loughshore Manor,0,0
700000003778,West Crescent,0,0
700000001352,Valley Retail Park,0,0
700000001354,Abbey Retail Park,0,0
700000001662,T & G Transport House,0,0
700000001621,Great Patrick Street,0,0
700000001622,Corporation Square,0,0
700000001623,Clarendon Dock,0,0
700000001624,Pilot Street,0,0
700000000620,Brougham Street,0,0
700000000622,Upper Canning Street,0,0
700000000624,Cosgrave Street,0,0
700000000626,Cosgrave Heights,0,0
700000000628,Newington Pres Church,0,0
700000000630,Lawther Street,0,0
700000000632,Atlantic Avenue,0,0
700000000634,Limestone Road,0,0
700000000636,Waterworks,0,0
700000000638,Richmond Square,0,0
700000000640,Rosemount Gardens,0,0
700000000642,Marsden Terrace,0,0
700000015357,Cedar Avenue,0,0
700000000646,Madison Avenue,0,0
700000000648,Westland Road,0,0
700000000650,Inver Avenue,0,0
700000000652,Tivoli Gardens,0,0
700000014742,Sunningdale Park,0,0
700000000654,Upper Cavehill Road,0,0
700000000656,Sunningdale Park North,0,0
700000000658,Kilcoole Park,0,0
700000014743,Belfast Boys' Model School,0,0
700000000660,Carr's Glen,0,0
700000000700,Mountcollyer Road,0,0
700000000702,Castleton Avenue,0,0
700000000704,Esther Street,0,0
700000000706,Elim Christian Centre,0,0
700000000708,Jellicoe Avenue,0,0
700000000710,Grove Playing Field,0,0
700000000712,Skegoneill Drive,0,0
700000000714,Fortwilliam Parade,0,0
700000000716,Somerton Mews,0,0
700000000718,Fortwilliam Park,0,0
700000000720,Dominican College,0,0
700000000722,Somerton Road,0,0
700000000724,Landsdowne Road,0,0
700000000726,Glastonbury Avenue,0,0
700000000728,Castle Avenue,0,0
700000014985,Donegall Park Avenue,0,0
700000000730,Castle Gardens,0,0
700000000732,Downview Avenue,0,0
700000000734,Waterloo Gardens,0,0
700000014738,Innisfayle Road,0,0
700000014739,Waterloo Gardens,0,0
700000014727,Castle Gardens,0,0
700000014728,Innisfayle Gardens,0,0
700000000662,Belfast Boys' Model School,0,0
700000000664,Kilcoole Park,0,0
700000000666,Slievedarragh Park,0,0
700000000668,Shandarragh Park,0,0
700000000670,Henderson Avenue,0,0
700000000672,Inver Avenue,0,0
700000000674,Charnwood Avenue,0,0
700000000676,Indiana Avenue,0,0
700000000678,Kansas Avenue,0,0
700000000680,Marsden Gardens,0,0
700000000682,Rosemount Gardens,0,0
700000000684,Camberwell Terrace,0,0
700000000686,Atlantic Avenue,0,0
700000000688,Currie Primary School,0,0
700000000690,Cosgrave Heights,0,0
700000000692,Mervue Street,0,0
700000000694,Upper Canning Street,0,0
700000000696,Brougham Street,0,0
700000001619,Pilot Street,0,0
700000001620,Clarendon Dock,0,0
700000001625,Corporation Square,0,0
700000000736,Innisfayle Road,0,0
700000000738,Castle Avenue,0,0
700000000740,Glastonbury Avenue,0,0
700000000742,Landsdowne Road,0,0
700000000744,Somerton Road,0,0
700000000746,Dominican College,0,0
700000000748,Fortwilliam Park,0,0
700000000750,Somerton Mews,0,0
700000000752,Fortwilliam Parade,0,0
700000000754,Skegoneil Drive,0,0
700000000756,Grove Playing Field,0,0
700000000758,Jellicoe Avenue,0,0
700000000760,Elim Christian Centre,0,0
700000015358,Gainsborough Drive,0,0
700000000762,Esther Street,0,0
700000000764,Castleton Avenue,0,0
700000000766,Mountcollyer Road,0,0
700000014737,Innisfayle Gardens,0,0
700000001804,Donegall Square West,0,0
700000015150,Victoria Square Chichester Street,0,0
700000016212,Queens Square,0,0
700000000003,Station Street,0,0
700000000005,Short Strand (Newtownards Road),0,0
700000000007,Tower Street,0,0
700000000009,Templemore Ave [N'ards Road],0,0
700000000011,Dee Street,0,0
700000000013,Ribble Street,0,0
700000000019,Holywood Arches (Holywood Road),0,0
700000000021,Dundela Park,0,0
700000000023,Parkgate Avenue,0,0
700000000027,Larkfield,0,0
700000000029,Palmerston Road,0,0
700000000031,Palmerston Park,0,0
700000000033,Station Road,0,0
700000000035,Sydenham Station,0,0
700000000037,Inverary Drive,0,0
700000000039,Inverary Playing Fields,0,0
700000000041,Inverleith Drive,0,0
700000000043,Carolhill,0,0
700000000045,Ashfield Boys,0,0
700000000047,Ashfield Girls,0,0
700000000049,Blanchflower Park,0,0
700000000051,Tillysburn Park,0,0
700000014749,Knocknagoney Tesco,0,0
700000000053,Knocknagoney Road,0,0
700000000055,Knocknagoney Primary,0,0
700000000059,School Court,0,0
700000000121,Waterfront,0,0
700000016222,Lanyon Place [bus stop],0,0
700000016223,Albert Bridge,0,0
700000000129,Templemore Avenue,0,0
